,Cluster ID,Taxonomy,Kingdom,Subkingdom,Phylum,Class,Order/Sublcass,Family,Genus,Species,Total,1. ICM_APP_Ev9;APP_0001_2005_09_17,2. ICM_APP_Ev9;APP_0002_2005_09_18,3. ICM_APP_Ev9;APP_0003_2005_09_21,4. ICM_APP_Ev9;APP_0004_2004_05_17,5. ICM_APP_Ev9;APP_0005_2005_01_13,6. ICM_APP_Ev9;APP_0006_2005_01_13,7. ICM_APP_Ev9;APP_0007_2005_05_23,8. ICM_APP_Ev9;APP_0008_2005_05_23,9. ICM_AWP_Ev9;AWP_0017_2007_08_26,10. ICM_AWP_Ev9;AWP_0020_2007_08_26,11. ICM_DOF_Ev9;DOF_0001_1997_02_04,12. ICM_DSE_Ev9;DSE_0001_2008_08_11,13. ICM_DSE_Ev9;DSE_0002_2008_08_11,14. ICM_DSE_Ev9;DSE_0003_2008_08_11,15. ICM_DSE_Ev9;DSE_0004_2008_06_20,16. ICM_DSE_Ev9;DSE_0005_2008_08_11,17. ICM_DSE_Ev9;DSE_0006_2008_06_20,18. ICM_GPS_Ev9;GPS_0001_2001_10_29,19. ICM_GPS_Ev9;GPS_0002_2001_10_29,20. ICM_GPS_Ev9;GPS_0003_2005_11_14,21. ICM_GPS_Ev9;GPS_0004_2005_11_14,22. ICM_GPS_Ev9;GPS_0005_2005_12_07,23. ICM_GPS_Ev9;GPS_0006_2000_08_24,24. ICM_GPS_Ev9;GPS_0007_2000_08_24,25. ICM_GPS_Ev9;GPS_0008_2002_08_12,26. ICM_GPS_Ev9;GPS_0009_2002_08_11,27. ICM_GPS_Ev9;GPS_0010_2003_12_08,28. ICM_GPS_Ev9;GPS_0011_2003_12_08,29. ICM_GPS_Ev9;GPS_0012_2003_12_08,30. ICM_GPS_Ev9;GPS_0013_2003_12_09,31. ICM_GPS_Ev9;GPS_0014_2007_10_24,32. ICM_GPS_Ev9;GPS_0015_2007_10_26,33. ICM_GPS_Ev9;GPS_0016_2007_10_23,34. ICM_JRV_Ev9;JRV_0003_2000_02_22,35. ICM_JRV_Ev9;JRV_0004_2000_02_22,36. ICM_JRV_Ev9;JRV_0005_2000_07_31,37. ICM_JRV_Ev9;JRV_0006_2000_07_31,38. ICM_JRV_Ev9;JRV_0007_2000_05_02,39. ICM_JRV_Ev9;JRV_0009_2000_05_02,40.ICM_JRV_Ev9;JRV_0010_2000_05_02,41. ICM_JRV_Ev9;JRV_0011_2000_05_02,42. ICM_JRV_Ev9;JRV_0012_2000_09_25,43. ICM_JRV_Ev9;JRV_0013_2000_09_25,44. ICM_JRV_Ev9;JRV_0014_2000_07_31,45. ICM_JRV_Ev9;JRV_0015_2000_09_25,46. ICM_JRV_Ev9;JRV_0016_2000_09_25,47. ICM_LCR_Ev9;LCR_0007_2009_01_13,48. ICM_WBS_Ev9;WBS_0001_2006_09_01,49. ICM_WBS_Ev9;WBS_0002_2006_09_01,50. ICM_WBS_Ev9;WBS_0003_2006_09_01,51. ICM_WBS_Ev9;WBS_0004_2006_09_01,52. ICM_WBS_Ev9;WBS_0005_2006_08_30,53. ICM_WBS_Ev9;WBS_0006_2006_09_02,54. ICM_WBS_Ev9;WBS_0007_2006_09_02,55. ICM_WBS_Ev9;WBS_0008_2006_09_02,56. ICM_WBS_Ev9;WBS_0009_2006_09_02
21,Eukarya_03_1341,Eukarya,Fungi,Dikarya,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,,,115,0,0,96,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0
22,Eukarya_03_1350,Eukarya,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Eukarya_03_1497,Eukarya,Fungi,Dikarya,Ascomycota,Saccharomycetes,,,,,91,0,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,8,0,0,3,6,2,0,3,5,1,1,0,0,1,6,5,1,0,0,14,24
24,Eukarya_03_1519,Eukarya,Fungi,Dikarya,Ascomycota,,,,,,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
25,Eukarya_03_1578,Eukarya,Fungi,,,,,,,,102,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,0,0,0,0,2,3,0,0,4,8,0,0,0,0,0,0,0,0,46,25
26,Eukarya_03_1579,Eukarya,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,27,0,4,0,4,0,0,2,0,0,0,0,0,0,10,8,11,1
27,Eukarya_03_1586,Eukarya,Fungi,Dikarya,Ascomycota,Dothideomycetes,,,,,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4
28,Eukarya_03_1638,Eukarya,Fungi,,,,,,,,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,15,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Eukarya_03_1693,Eukarya,Fungi,,,,,,,,87,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,2,67,0,0,0
30,Eukarya_03_1698,Eukarya,Fungi,,,,,,,,94,0,0,0,0,0,0,0,0,0,0,0,69,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
